corso_codice,annoaccademico,immatricolabile,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
9213,2018/2019,True,Biotecnologie molecolari e industriali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9213,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
9214,2018/2019,True,Management delle attivitÃ  motorie e sportive,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9214,Bologna,Bologna,Scienze motorie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
9215,2018/2019,True,Scienze e tecniche dell'attivita' motoria preventiva e adattata,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9215,Rimini,Rimini,Scienze motorie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
9216,2018/2019,True,Filosofia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9216,Bologna,Bologna,Studi umanistici,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
9217,2018/2019,True,Ingegneria dellâ€™automazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9217,Bologna,Bologna,Ingegneria e architettura,Laurea,3,True,Titolo multiplo (solo alcuni curricula),,Italiano,numero chiuso
9218,2018/2019,True,"Beni archeologici, artistici e del paesaggio: storia, tutela e valorizzazione",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9218,Ravenna,Ravenna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
9219,2018/2019,True,Farmacia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9219,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
9220,2018/2019,True,"Italianistica, culture letterarie europee, scienze linguistiche",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9220,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9221,2018/2019,True,Economia e diritto,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9221,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
9222,2018/2019,True,Statistical sciences,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9222,Bologna,Bologna,Scienze Statistiche,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9223,2018/2019,True,Farmacia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9223,Rimini,Rimini,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
9224,2018/2019,True,Digital humanities and digital knowledge,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9224,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9225,2018/2019,True,Advanced cosmetic sciences,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9225,Rimini,Rimini,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9226,2018/2019,True,International politics and markets,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9226,ForlÃ¬,ForlÃ¬,Scienze politiche,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,numero chiuso
9227,2018/2019,True,"Wellness culture: sport, health and tourism",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9227,Rimini,Rimini,Scienze motorie,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9228,2018/2019,True,Progettazione e gestione dell'intervento educativo nel disagio sociale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9228,Bologna,Bologna,Scienze dellâ€™educazione e della formazione,Laurea Magistrale,2,False,,,Italiano,numero chiuso
9229,2018/2019,True,Progettazione e gestione dell'intervento educativo nel disagio sociale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9229,Rimini,Rimini,Scienze dellâ€™educazione e della formazione,Laurea Magistrale,2,False,,,Italiano,numero chiuso
9230,2018/2019,True,Consulente del lavoro e delle relazioni aziendali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9230,Bologna,Bologna,Giurisprudenza,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
9231,2018/2019,False,Giurista per le imprese e per la pubblica amministrazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9231,Ravenna,Ravenna,Giurisprudenza,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
9232,2018/2019,True,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9232,Bologna,Bologna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,True,Titolo multiplo,,Italiano,libero accesso con verifica delle conoscenze
9233,2018/2019,True,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9233,Ravenna,Ravenna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,True,Titolo multiplo,,Italiano,libero accesso con verifica delle conoscenze
9234,2018/2019,True,Ingegneria aerospaziale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9234,ForlÃ¬,ForlÃ¬,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
9235,2018/2019,True,Scienze e tecnologie agrarie,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9235,Bologna,Bologna,Scienze agro-alimentari,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
9236,2018/2019,True,"Work, organizational and personnel psychology",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9236,Cesena,Cesena,Psicologia,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9237,2018/2019,True,International cooperation on human rights and intercultural heritage,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9237,Ravenna,Ravenna,"Studi umanistici, Scienze politiche",Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9238,2018/2019,True,Advanced automotive electronic engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9238,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,Inglese,numero chiuso
9239,2018/2019,True,Advanced automotive engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9239,Bologna,,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,Inglese,numero chiuso
9242,2018/2019,True,Giurista per le imprese e per la pubblica amministrazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9242,Ravenna,Ravenna,Giurisprudenza,Laurea,3,False,,,,libero accesso con verifica delle conoscenze
9243,2018/2019,True,Ingegneria biomedica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9243,Cesena,Cesena,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
9244,2018/2019,True,Fisica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9244,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
9245,2018/2019,True,Physics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9245,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9246,2018/2019,True,Low carbon technologies and sustainable chemistry,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9246,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9247,2018/2019,True,Scienze internazionali e diplomatiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9247,ForlÃ¬,ForlÃ¬,Scienze politiche,Laurea Magistrale,2,False,,,Italiano,numero chiuso
9249,2018/2019,True,Offshore engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9249,Ravenna,Ravenna,Ingegneria e architettura,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9250,2018/2019,True,Ingegneria meccatronica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9250,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
9254,2018/2019,True,Ingegneria informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9254,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
9255,2018/2019,True,Ingegneria dell'energia elettrica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9255,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
9256,2018/2019,True,Advanced design,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9256,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
9257,2018/2019,True,Scienze e gestione della natura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9257,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
