annoaccademico,corso_codice,corso_descrizione,indirizzo_codice,indirizzo_descrizione,orientamento_codice,orientamento_descrizione,curriculum_codice,curriculum_descrizione,curriculum_note,url
2018/2019,8611,Ingegneria dell'energia elettrica,A26,INGEGNERIA DELL’ENERGIA ELETTRICA,000,,Manifesto-2018_8611_000_A26_2018,Curriculum Ingegneria dell'energia elettrica: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8611/A26/000/2018
2018/2019,8611,Ingegneria dell'energia elettrica,A26,INGEGNERIA DELL’ENERGIA ELETTRICA,000,,Manifesto-2018_8611_000_A26_2017,Curriculum Ingegneria dell'energia elettrica: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8611/A26/000/2017
2018/2019,8611,Ingegneria dell'energia elettrica,A27,ELECTRICAL ENGINEERING,000,,Manifesto-2018_8611_000_A27_2018,Curriculum Electrical Engineering: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8611/A27/000/2018
2018/2019,8611,Ingegneria dell'energia elettrica,A27,ELECTRICAL ENGINEERING,000,,Manifesto-2018_8611_000_A27_2017,Curriculum Electrical Engineering: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8611/A27/000/2017
2018/2019,8614,Ingegneria e scienze informatiche,000,,000,,Manifesto-2018_8614_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-2019,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8614/000/000/2018
2018/2019,8614,Ingegneria e scienze informatiche,000,,000,,Manifesto-2018_8614_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-2018,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8614/000/000/2017
2018/2019,8615,Ingegneria e scienze informatiche,000,,000,,Manifesto-2018_8615_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8615/000/000/2018
2018/2019,8615,Ingegneria e scienze informatiche,000,,000,,Manifesto-2018_8615_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8615/000/000/2017
2018/2019,8615,Ingegneria e scienze informatiche,977,CURRICULUM SCIENZE E TECNOLOGIE INFORMATICHE,000,,Manifesto-2018_8615_000_977_88,Piano didattico per studenti III anno - Curr. Scienze e tecnologie informatiche - IMMATRICOLATI A.A. 2016/17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8615/977/000/88
2018/2019,8615,Ingegneria e scienze informatiche,978,CURRICULUM INGEGNERIA INFORMATICA,000,,Manifesto-2018_8615_000_978_88,Piano didattico per studenti III anno - Curr. Ingegneria informatica - IMMATRICOLATI A.A. 2016/17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8615/978/000/88
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_9017,Piano didattico Percorso PFP4 Materiali e manufatti ceramici e vitrei - Materiali e manufatti in metallo e leghe - immatricolati a.a. 2017/2018,Il presente Regolamento di corso di studio si applica agli studenti immatricolati al corso di studio nell'a.a. 2017/2018,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/9017
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-19,Il presente Regolamento di corso di studio si applica agli studenti iscritti al corso di studio nell'a.a. 2018/2019.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/2018
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-18,Il presente Regolamento di corso di studio si applica agli studenti immatricolati al corso di studio nell'a.a. 2017/2018.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/2017
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_2016,Piano didattico  per studenti immatricolati nell'a.a. 2016-17,Il presente Regolamento di corso di studio si applica agli studenti immatricolati al corso di studio nell'a.a. 2016/2017.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/2016
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_2015,Piano didattico per studenti immatricolati nell'a.a. 2015-16,Il presente Regolamento di corso di studio si applica agli studenti immatricolati al corso di studio nell'a.a. 2015/2016.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/2015
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_2014,Piano didattico per studenti immatricolati nell'a.a. 2014-15,Il presente Regolamento di corso di studio si applica agli studenti immatricolati al corso di studio nell'a.a. 2014/2015.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/2014
